candidate_id,rank,score,reasoning
CAND_0018549,37,0.798196,"Recommendation Systems Engineer with 6.8 yrs exp (Coimbatore, Tamil Nadu); top skills: Weaviate, Elasticsearch, LangChain. Strong core ai/ml skill match."
CAND_0005311,38,0.798114,"AI Research Engineer with 5.7 yrs exp (Mumbai, Maharashtra); top skills: LoRA, Feature Engineering, BentoML. Strong core ai/ml skill match; short notice (30d)."
CAND_0075574,39,0.79707,"Machine Learning Engineer with 5.7 yrs exp (Bangalore, Karnataka); top skills: pgvector, Weaviate, OpenSearch. Strong core ai/ml skill match."
CAND_0030468,40,0.7969,"Senior Applied Scientist with 5.4 yrs exp (Indore, Madhya Pradesh); top skills: Content Matching, Text Encoders, Search & Discovery. Strong core ai/ml skill match."
CAND_0042506,41,0.796875,"Search Engineer with 4.2 yrs exp (Mumbai, Maharashtra); top skills: PEFT, Fine-tuning LLMs, TensorFlow. Strong core ai/ml skill match; short notice (15d)."
CAND_0068811,42,0.79631,"Applied ML Engineer with 8.0 yrs exp (Pune, Maharashtra); top skills: Vector Search, Qdrant, scikit-learn. Strong core ai/ml skill match; short notice (30d)."
CAND_0041610,43,0.79601,"Recommendation Systems Engineer with 6.7 yrs exp (Indore, Madhya Pradesh); top skills: Elasticsearch, OpenSearch, BM25. Strong core ai/ml skill match; short notice (30d)."
CAND_0088025,44,0.7953,"Staff Machine Learning Engineer with 8.6 yrs exp (Jaipur, Rajasthan); top skills: QLoRA, LLMs, Hugging Face Transformers. Strong core ai/ml skill match."
CAND_0010149,45,0.7951,"ML Engineer with 6.9 yrs exp (Bangalore, Karnataka); top skills: Computer Vision, Milvus, Vector Search. Strong core ai/ml skill match."
CAND_0078492,46,0.79494,"Recommendation Systems Engineer with 5.1 yrs exp (Kochi, Kerala); top skills: Machine Learning, Haystack, FAISS. Strong core ai/ml skill match; short notice (30d)."
CAND_0079387,47,0.79481,"AI Engineer with 6.9 yrs exp (Trivandrum, Kerala); top skills: scikit-learn, Python, Sentence Transformers. Strong core ai/ml skill match; short notice (30d)."
CAND_0076163,48,0.79476,"NLP Engineer with 6.9 yrs exp (Chandigarh, Chandigarh); top skills: LangChain, Semantic Search, LlamaIndex. Strong core ai/ml skill match."
CAND_0081852,49,0.79459,"Senior Data Scientist with 5.9 yrs exp (Delhi, Delhi); top skills: Semantic Search, Milvus, pgvector. Strong core ai/ml skill match."
CAND_0099806,50,0.79459,"AI Engineer with 4.6 yrs exp (Bhubaneswar, Odisha); top skills: LoRA, Prompt Engineering, FAISS. Strong core ai/ml skill match; short notice (30d)."
CAND_0079064,51,0.794174,"Senior Data Scientist with 5.2 yrs exp (Noida, Uttar Pradesh); top skills: LlamaIndex, OpenSearch, Semantic Search. Positives: strong core AI/ML skill match. Concerns: long notice period (120d)."
CAND_0073982,52,0.7934,"Data Scientist with 7.0 yrs exp (Delhi, Delhi); top skills: Sentence Transformers, OpenCV, RAG. Strong core ai/ml skill match."
CAND_0008425,53,0.79207,"Senior NLP Engineer with 7.8 yrs exp (Kolkata, West Bengal); top skills: Learning to Rank, Qdrant, pgvector. Strong core ai/ml skill match."
CAND_0015578,54,0.791932,"AI Engineer with 5.4 yrs exp (Delhi, Delhi); top skills: Embeddings, NLP, Machine Learning. Strong core ai/ml skill match."
CAND_0017590,55,0.791764,"AI Research Engineer with 5.1 yrs exp (Kolkata, West Bengal); top skills: Computer Vision, FAISS, TTS. Strong core ai/ml skill match."
CAND_0046353,56,0.791164,"ML Engineer with 6.4 yrs exp (Gurgaon, Haryana); top skills: MLflow, PyTorch, FAISS. Positives: strong core AI/ML skill match. Concerns: long notice period (120d)."
CAND_0009024,57,0.791119,"Search Engineer with 5.2 yrs exp (Chennai, Tamil Nadu); top skills: PEFT, Recommendation Systems, OpenSearch. Strong core ai/ml skill match; short notice (30d)."
CAND_0010257,58,0.79105,"Senior Data Scientist with 6.5 yrs exp (Noida, Uttar Pradesh); top skills: Milvus, TensorFlow, Python. Positives: strong core AI/ML skill match. Concerns: long notice period (120d)."
CAND_0092255,59,0.79079,"ML Engineer with 5.2 yrs exp (Noida, Uttar Pradesh); top skills: Machine Learning, PyTorch, Weaviate. Strong core ai/ml skill match."
CAND_0007009,60,0.78992,"Recommendation Systems Engineer with 7.9 yrs exp (Noida, Uttar Pradesh); top skills: Weaviate, Python, Embeddings. Strong core ai/ml skill match; short notice (30d)."
CAND_0093193,61,0.78942,"Senior Machine Learning Engineer with 7.9 yrs exp (Bangalore, Karnataka); top skills: Ranking Systems, Text Encoders, Indexing Algorithms. Strong core ai/ml skill match."
CAND_0083879,62,0.7891,"Machine Learning Engineer with 7.1 yrs exp (Noida, Uttar Pradesh); top skills: Fine-tuning LLMs, scikit-learn, Hugging Face Transformers. Strong core ai/ml skill match; short notice (30d)."
CAND_0071939,63,0.789094,"Data Scientist with 6.4 yrs exp (Pune, Maharashtra); top skills: OpenSearch, Embeddings, QLoRA. Strong core ai/ml skill match; short notice (30d)."
CAND_0096801,64,0.78901,"AI Research Engineer with 4.2 yrs exp (Kolkata, West Bengal); top skills: Weaviate, Kubeflow, LangChain. Strong core ai/ml skill match; short notice (30d)."
CAND_0098846,65,0.78871,"AI Engineer with 7.6 yrs exp (Indore, Madhya Pradesh); top skills: Hugging Face Transformers, PEFT, QLoRA. Strong core ai/ml skill match."
CAND_0081053,66,0.78837,"NLP Engineer with 5.4 yrs exp (Chandigarh, Chandigarh); top skills: LoRA, QLoRA, Machine Learning. Strong core ai/ml skill match."
CAND_0066376,67,0.78824,"Applied ML Engineer with 5.7 yrs exp (Mumbai, Maharashtra); top skills: LoRA, Learning to Rank, LLMs. Strong core ai/ml skill match."
CAND_0051004,68,0.787646,"Senior Data Scientist with 4.7 yrs exp (Delhi, Delhi); top skills: Qdrant, PEFT, Fine-tuning LLMs. Strong core ai/ml skill match; short notice (15d)."
CAND_0011162,69,0.78703,"Recommendation Systems Engineer with 5.8 yrs exp (Coimbatore, Tamil Nadu); top skills: FAISS, Vector Search, LangChain. Strong core ai/ml skill match."
CAND_0005649,70,0.78667,"Senior Data Scientist with 7.4 yrs exp (Delhi, Delhi); top skills: Haystack, Deep Learning, Fine-tuning LLMs. Strong core ai/ml skill match."
CAND_0053695,71,0.786633,"Recommendation Systems Engineer with 5.8 yrs exp (Bhubaneswar, Odisha); top skills: Pinecone, LangChain, Recommendation Systems. Strong core ai/ml skill match; short notice (15d)."
CAND_0077285,72,0.786571,"Recommendation Systems Engineer with 5.5 yrs exp (Ahmedabad, Gujarat); top skills: LoRA, Sentence Transformers, Embeddings. Strong core ai/ml skill match."
CAND_0044222,73,0.786084,"AI Engineer with 7.7 yrs exp (Vizag, Andhra Pradesh); top skills: LlamaIndex, OpenSearch, Deep Learning. Strong core ai/ml skill match."
CAND_0058688,74,0.785716,"AI Engineer with 6.7 yrs exp (Berlin); top skills: scikit-learn, LlamaIndex, Embeddings. Strong core ai/ml skill match; short notice (15d)."
CAND_0016163,75,0.7855,"Applied ML Engineer with 6.7 yrs exp (Gurgaon, Haryana); top skills: Weaviate, TensorFlow, pgvector. Positives: strong core AI/ML skill match. Concerns: long notice period (120d)."
CAND_0030784,76,0.78527,"Data Scientist with 4.4 yrs exp (Delhi, Delhi); top skills: Embeddings, Python, QLoRA. Strong core ai/ml skill match."
CAND_0051292,77,0.78521,"Applied ML Engineer with 5.2 yrs exp (Trivandrum, Kerala); top skills: pgvector, Vector Search, Fine-tuning LLMs. Strong core ai/ml skill match; short notice (30d)."
CAND_0071974,78,0.78518,"Senior AI Engineer with 7.8 yrs exp (Vizag, Andhra Pradesh); top skills: Weaviate, BM25, Pinecone. Strong core ai/ml skill match."
CAND_0058575,79,0.78489,"AI Engineer with 5.8 yrs exp (Chennai, Tamil Nadu); top skills: Recommendation Systems, Pinecone, PyTorch. Strong core ai/ml skill match."
CAND_0059017,80,0.784848,"AI Research Engineer with 6.8 yrs exp (Ahmedabad, Gujarat); top skills: Sentence Transformers, FAISS, TensorFlow. Strong core ai/ml skill match."
CAND_0069905,81,0.78448,"Applied ML Engineer with 6.6 yrs exp (Bhubaneswar, Odisha); top skills: LoRA, Recommendation Systems, Sentence Transformers. Strong core ai/ml skill match."
CAND_0032216,82,0.784336,"ML Engineer with 6.1 yrs exp (Chennai, Tamil Nadu); top skills: Time Series, Learning to Rank, Information Retrieval. Strong core ai/ml skill match; short notice (30d)."
CAND_0055905,83,0.784,"Senior Machine Learning Engineer with 8.1 yrs exp (London); top skills: Elasticsearch, LangChain, Python. Strong core ai/ml skill match; short notice (30d)."
CAND_0020350,84,0.783949,"AI Engineer with 5.8 yrs exp (Jaipur, Rajasthan); top skills: NLP, LoRA, LLMs. Strong core ai/ml skill match; short notice (30d)."
CAND_0007412,85,0.7838,"Applied ML Engineer with 7.4 yrs exp (Noida, Uttar Pradesh); top skills: Pinecone, PyTorch, BM25. Positives: strong core AI/ML skill match. Concerns: long notice period (120d)."
CAND_0053591,86,0.78318,"AI Engineer with 5.3 yrs exp (Toronto); top skills: OpenSearch, Sentence Transformers, Qdrant. Strong core ai/ml skill match."
CAND_0098780,87,0.783,"AI Research Engineer with 5.9 yrs exp (Bangalore, Karnataka); top skills: Semantic Search, MLOps, Feature Engineering. Strong core ai/ml skill match."
CAND_0015057,88,0.782006,"ML Engineer with 4.6 yrs exp (Pune, Maharashtra); top skills: Embeddings, MLflow, Speech Recognition. Strong core ai/ml skill match."
CAND_0039383,89,0.78197,"Applied ML Engineer with 7.1 yrs exp (Gurgaon, Haryana); top skills: FAISS, Hugging Face Transformers, QLoRA. Strong core ai/ml skill match."
CAND_0061265,90,0.781308,"Recommendation Systems Engineer with 6.6 yrs exp (Delhi, Delhi); top skills: Qdrant, LangChain, Learning to Rank. Positives: strong core AI/ML skill match. Concerns: long notice period (120d)."
CAND_0045250,91,0.78124,"Applied ML Engineer with 6.6 yrs exp (Delhi, Delhi); top skills: Sentence Transformers, Embeddings, NLP. Strong core ai/ml skill match; short notice (15d)."
CAND_0072660,92,0.78096,"Machine Learning Engineer with 7.1 yrs exp (Berlin); top skills: LoRA, pgvector, PyTorch. Strong core ai/ml skill match; short notice (30d)."
CAND_0008295,93,0.780932,"AI Research Engineer with 6.5 yrs exp (Pune, Maharashtra); top skills: BM25, Python, TTS. Strong core ai/ml skill match; recently active."
CAND_0007052,94,0.7809,"ML Engineer with 6.5 yrs exp (Pune, Maharashtra); top skills: Data Science, RAG, Statistical Modeling. Strong core ai/ml skill match."
CAND_0075249,95,0.78078,"Applied ML Engineer with 6.2 yrs exp (Ahmedabad, Gujarat); top skills: Sentence Transformers, Milvus, Machine Learning. Strong core ai/ml skill match."
CAND_0020991,96,0.78077,"Junior ML Engineer with 4.9 yrs exp (Vizag, Andhra Pradesh); top skills: QLoRA, Statistical Modeling, Python. Positives: strong core AI/ML skill match; recently active. Concerns: long notice period (120d)."
CAND_0011432,97,0.780681,"Senior Data Scientist with 7.6 yrs exp (Chennai, Tamil Nadu); top skills: Haystack, pgvector, QLoRA. Strong core ai/ml skill match."
CAND_0065514,98,0.78065,"ML Engineer with 6.6 yrs exp (Pune, Maharashtra); top skills: LangChain, Pinecone, Elasticsearch. Strong core ai/ml skill match."
CAND_0027801,99,0.78013,"NLP Engineer with 7.4 yrs exp (Hyderabad, Telangana); top skills: FAISS, Milvus, QLoRA. Positives: strong core AI/ML skill match. Concerns: long notice period (120d)."
CAND_0016659,100,0.779716,"ML Engineer with 4.4 yrs exp (Coimbatore, Tamil Nadu); top skills: TTS, Pinecone, Information Retrieval. Strong core ai/ml skill match."
